,UTSW15_T,UTSW24_T,UTSW31_T,UTSW32_T,UTSW37_T,UTSW39_T,UTSW45_T,UTSW46_T,UTSW47_T,UTSW48_T,UTSW49_T,UTSW50_T,UTSW52_T,UTSW54_T,UTSW60_T,UTSW62_T,UTSW65_T,UTSW70_T,UTSW79_T,XP615_T,XP659_T,XP681_T,
RP11-54O7.1,0.0021186849,0.0008219408,0.0051038947,0.0044388217,0.01352416,0.0017480223,0.0030424275,0.0022944249,0.0296647929,0.0271036087,0.0055317281,0.00233669,0.0025623676,0.0028534226,0.0014114186,0.0018520967,0.0174025259,0.0033123602,0.0080644601,0.0025602269,0.0071059985,0.0023824882,0.0066099341
RP11-54O7.3,0.014124566,0.0501383861,0.0306233681,0.0266329302,0.0198884706,0.0332124244,0.0131838525,0.0057360623,0.0234846277,0.0883813327,0.1493566574,0.0993093249,0.0068329802,0.0114136903,0.0112913485,0.0055562902,0.0473735426,0.0066247205,0.0403223006,0.040963631,0.0539219883,0.0277956951,0.0769585183
PLEKHN1,0.1589013671,0.0743856384,0.367480417,0.6095981803,0.1101821271,0.1031333178,0.1125698178,0.1244725522,0.1053718165,0.0730619017,0.1618030456,0.03505035,0.0555179643,0.1312574379,0.1665473899,0.1629845115,0.1430874348,0.0447168632,0.1061820584,0.3481908633,0.156749966,0.1352062027,0.3050012442
PERM1,0.9214513723,0.033699571,0.3304771806,2.7565082764,0.0485278683,0.0611807818,0.0547636951,0.0688327478,0.048823305,0.035941742,0.0511684845,0.0689323549,0.0136659604,0.0570684513,0.0423425568,0.046302418,0.0986143132,0.0568566634,0.0826607163,0.440359033,0.0417999909,0.0345460782,0.1501399313
RP11-54O7.17,0.0486096938,0.1092523653,0.0965401679,0.2759171569,0.0159107765,0.0087401117,0.1080366008,0.0068832748,0.1046549173,0.0117841777,0.0230534767,0.031545315,0.0102494703,0.0057068451,0.0084685114,0.0296335475,0.0901064117,0.0149056211,0.0067203834,0.1382522545,0.0112859976,0.0434804088,0.0396218335
HES4,0.8096907441,0.2482261084,0.8153471752,0.5267401752,0.1614943812,0.3906829922,0.5461157377,0.0504773484,0.9061110996,0.1148957325,0.3319036832,0.2955912847,0.0589344544,0.1084300574,0.108679229,0.4333906329,0.5472127575,0.3284702026,0.0591393743,0.4992442525,0.1588399655,0.1712095695,0.1952291246
ISG15,0.5307305662,0.2552126048,2.6833726284,0.2308187285,0.3430761178,3.1420701496,0.2900447557,0.1479904077,0.6291408164,0.4914002097,1.8842448683,1.581354956,0.3745327281,0.5592708225,0.5229305759,7.0821030075,0.481469882,0.7407265573,0.2358854588,0.7322249037,0.4900338336,0.2491685527,1.4308146602
RP11-465B22.3,0.1897988552,0.036987334,0.104629841,0.1168889715,0.0701426581,0.0716689158,0.0314384176,0.0975130593,0.1613023115,0.0271036087,0.102336969,0.03505035,0.0111035929,0.0770424092,0.0409311382,0.0240772574,0.0802449803,0.0082809006,0.0352820131,0.1280113468,0.0110059376,0.0790191904,0.0212462167
RP11-54O7.18,0.0529671224,0.0082194076,0.0025519473,0.0281125374,0.0230706259,0.0139841787,0.0070989975,0.0195026119,0.0469692554,0.0070705066,0.0193610482,0.003505035,0.0017082451,0.0114136903,0.0028228371,0.0129646771,0.0125684909,0.0016561801,0.0040322301,0.0102409077,0.0012539997,0.0202511493,0.003304967
RP11-465B22.8,0.0007062283,0.0090413483,0.0816623149,0.0133164651,0.0047732329,0.005244067,0.014197995,0.0229442493,0.0420251233,0.0247467731,0.0221269122,0.001168345,0.0017082451,0.0370944933,0.0056456742,0.0018520967,0.0251369818,0.0066247205,0.0073924218,0.0716863542,0.0054339988,0.0250161256,0.0311611178
TNFRSF18,0.0451986111,0.0156168744,0.7477205707,0.0103572506,0.0127286212,0.0891491392,0.0701786612,0.2569755916,0.0383170242,0.326421722,0.0815929888,0.045565455,0.0281860434,0.0285342256,0.0748051836,0.0425982246,0.0425395076,0.0248427018,0.0342739555,0.0051204539,0.1024099778,0.0609519886,0.0618500975
