"","UTSW15_G","UTSW24_G","UTSW31_G","UTSW32_G","UTSW37_G","UTSW39_G","UTSW45_G","UTSW46_G","UTSW47_G","UTSW48_G","UTSW49_G","UTSW50_G","UTSW52_G","UTSW54_G","UTSW60_G","UTSW62_G","UTSW65_G","UTSW70_G","UTSW79_G","XP615_G","XP659_G","XP681_G","XP685_G"
"EPHA2",0.466135748838983,0.827918232331397,1.03209715935695,1.43353103934463,2.6586896490619,0.520521728824967,0.321386439531994,0.586484789560855,3.4296038753228,1.58272326667459,0.638318500613023,1.13746536045283,1.64873532882318,3.61409355030184,1.58332616598359,5.07631160110598,0.785014211330648,1.48351789948262,0.842193973988591,1.1986924498133,1.25665479042741,1.01196617660124,4.68990195375862
"ARHGEF19-AS1",0.0434781326271338,0.00732671002063184,0.0213638469989113,0.0112082176649307,0.0564441194995391,0.00978271064353892,0.00732952715952135,0.058939538404999,0.0556272254864209,0.0116437865125824,0.0230635802559434,0.00498888315988085,0.00588413750472228,0.0184207568640357,0.0413823884291165,0.0474310309354807,0.0425610114576857,0.0299700585754065,0.0294002260010563,0.052431789872689,0.000765319604401591,0.037663583888277,0.0303548486784032
"ARHGEF19",0.265049385438489,0.0494552926392649,0.160228852491835,0.0840616324869801,0.54804189000566,0.0937509770005813,0.0366476357976068,0.365279608386537,0.368623080890016,0.108120874759693,0.105821132939035,0.0129710962156902,0.0400121350321115,0.145155564088601,0.233900456338485,0.27686485499548,0.349111564571213,0.146853287019492,0.262458267530263,0.349348320537559,0.0145410724836302,0.279036455633821,0.194582363323097
"ANO7P1",0.0183945945730182,0.00366335501031592,0.00291325186348791,0.0313830094618059,0.0436679167749812,0.00326090354784631,0.00633004618322299,0.0181912155570985,0.0192841048352926,0.0116437865125824,0.00949676834068259,0.00798221305580935,0.00353048250283337,0.00221049082368428,0.00539770283858041,0.0617706449392307,0.00848438463698964,0.00599401171508131,0.0226626742091475,0.0238682028524928,0.00459191762640955,0.010502345507308,0.0210148952388945
"MT1XP1",0.00167223587027438,0.00183167750515796,0.00194216790899194,0.00112082176649307,0.00679999088295123,0.00815225886961576,0.00266528260346231,0.0129739749353226,0.00296678535927578,0.00166339807322605,0.00542672476610434,0.00199555326395234,0.00235365500188891,0.00773671788289499,0.0017992342795268,0.00551523615528845,0.0053771526240331,0.00299700585754065,0.0603317137730009,0.00391282013975291,0.00459191762640955,0.00108644953523876,0.00214040599655407
"MST1P2",0.0586954790466307,0.227695830666186,0.400737215501852,0.0401590438934466,0.0334011890930381,0.088452008735331,0.359979731630128,0.188300910474638,0.195177391823355,0.0749859851410304,0.218656307638259,0.0625306615259465,0.0428600575843971,0.163760528521277,0.0359846855905361,0.0466037455121874,0.128898665876783,0.255734509823944,0.124442581596554,0.143291386337891,0.034630712099172,0.243455233354752,0.151206062891112
"ESPNP",0.000836117935137189,0.0100742262783688,0.00339879384073589,0.0156915047309029,0.00203275106035502,0.00203806471740394,0.00399792390519346,0.00509354035598757,0.00259593718936631,0.0141388836224214,0.0146928573042275,0.000997776631976169,0.0041188962533056,0.00368415137280714,0.0017992342795268,0.00110304723105769,0.0187769168195672,0.0389610761480285,0.000612504708355339,0.00899948632143169,0.00153063920880318,0.00543224767619379,0.000389164726646194
"MST1L",0.023135383265246,0.187930112029207,0.22524292324534,0.0240080022382815,0.0166205049174994,0.0146740659653084,0.271878815172682,0.0852222066418949,0.0396214184731281,0.0461592965320229,0.0925934913216553,0.0582003109431699,0.0363875063292026,0.274712431264737,0.0233900456338485,0.0341062203843038,0.0770187401456826,0.207782416103294,0.0879985514494115,0.341753536646299,0.0224468239970987,0.195915823191155,0.0638346901117753
"RP11-108M9.3",0.0125417690270578,0.000915838752578979,0.0131096333856956,0.00635505941601569,0.00228827511484618,0.00326090354784631,0.000666320650865577,0.00181912155570985,0.00185424084954736,0.00166339807322605,0.0465748653050905,0.00199555326395234,0.0111798612589723,0.0194007411292024,0.0017992342795268,0.0176487556969231,0.00083452963642521,0.00698302364806972,0.000612504708355339,0.0277145050498699,0.00905373092007082,0.000724299690159172,0.0221317980043691
"RP11-108M9.4",0.0722405895958531,0.00366335501031592,0.147604761083387,0.0722930039388029,0.130305826414916,0.000815225886961576,0.0486414075131872,0.0167359183125306,0.000741696339818945,0.0669517724473486,0.00203502178728913,0.0164633144276068,0.0686443481300902,0.0501044586701771,0.0773670740196526,0.0466919892906721,0.0728822549144684,0.140859275304411,0.0697214109520882,0.000782564027950582,0.00382659802200796,0.00235397399301731,0.0359004460331114
