"","UTSW15_N","UTSW24_N","UTSW31_N","UTSW32_N","UTSW37_N","UTSW39_N","UTSW45_N","UTSW46_N","UTSW47_N","UTSW48_N","UTSW49_N","UTSW50_N","UTSW52_N","UTSW54_N","UTSW60_N","UTSW62_N","UTSW65_N","UTSW70_N","UTSW79_N","XP615_N","XP659_N","XP681_N","XP685_N"
"TNFRSF4",0.0306606704026828,0.0107993790525084,0.0205318529701386,0.0226663471217561,0.0212266746774121,0.0419430886511716,0.0379125507504887,0.0381953315829513,0.0156960616316124,0.0201517595321692,0.0271221409610294,0.0451484021625961,0.030330876141415,0.0195749319254025,0.0243058523343908,0.0154529568335503,0.0997399727244721,0.0154341431219265,0.0221018272949639,0.026920473898311,0.0422247795378209,0.0949628657084027,0.0520795459043574
"FAM132A",0.238578341570875,0.134220853938319,0.0975263016081583,0.163895125341929,0.107460040554399,0.0761189386632373,0.127430401830851,0.114585994748854,0.141264554684512,0.121270410041804,0.105098296223989,0.0902968043251923,0.0965532890501711,0.15659945540322,0.108441495030359,0.101146626546874,0.0202976377237487,0.1049521732291,0.121725813827014,0.24015896451388,0.0641816648974878,0.0536561483374831,0.102928866314911
"RP5-902P8.12",0.010376720639408,0.0113162064785927,0.0034219754950231,0.00697426065284802,0.00486444628024028,0.00621379091128468,0.0164287719918784,0.0175030106978874,0.00998840285648064,0.0100758797660846,0.0167592229355028,0.00987621297306791,0.0101102920471383,0.0123909319087798,0.0049920481332941,0.00421444277278644,0.0032738125360885,0.0131190216536375,0.0146525068680477,0.00613503431472035,0.00211123897689105,0.00255505468273729,0.0172928696912343
"RP5-902P8.10",0.00862331355075453,0.0131135317066173,0.00855493873755775,0.00697426065284802,0.00663333583669129,0.0108741340947482,0.0107418893793051,0.0108188276708709,0.00998840285648064,0.0079167626733522,0.0146911596872243,0.00705443783790565,0.0171874964801352,0.0117449591552415,0.0168271285391936,0.0126433283183593,0.0124404876371363,0.0169775574341192,0.0175809989846304,0.00566746818911811,0.00717821252142956,0.0161820129906695,0.0147627059256446
"SCNN1D",0.0862331355075453,0.0964230272545392,0.0479076569303234,0.0575376503859962,0.0543933538608686,0.0419430886511716,0.122583914093247,0.166627134030625,0.082761052239411,0.092842034987494,0.135610704805147,0.055024615135664,0.128400708998657,0.0880871936643112,0.0616994713103765,0.103717436638274,0.0825000759094301,0.100321930292522,0.0838864808695222,0.0609252830330197,0.0966947451416099,0.120087570088653,0.110720294442335
"TAS1R3",0.011497751401006,0.0131135317066173,0.0136879019800924,0.0191792167953321,0.0141511164516081,0.0170879250060329,0.0195881512210858,0.0238720822393445,0.0185498910191783,0.0215911709273242,0.0361628546147059,0.0296286389192037,0.0111213212518522,0.0176174387328622,0.0186968094879929,0.0126433283183593,0.0569643381279398,0.0200643860585045,0.0180833132413341,0.0127518034255157,0.0092894514983206,0.026687546161191,0.0360866144849091
"MXRA8",0.832149757647812,0.693474412014646,1.06765635444721,0.64773445813326,1.08816336621808,0.716139402525559,1.03785607679463,1.03222883602926,0.851154614841529,1.04659602541716,0.862823109322749,1.08920520217263,1.06562478176838,0.735038693798863,1.06758782176439,0.625142344629988,1.93744225885717,0.837302264364513,0.797926196773869,0.877040702266027,1.27645508542833,3.39516943769473,1.15970486774724
"ANKRD65",0.0843168436073777,0.0617107374429051,0.119769142325808,0.0767168671813283,0.0849332320529953,0.0838861773023431,0.0633961036132755,0.0639771804014434,0.0513689289761861,0.092842034987494,0.10170802860386,0.0239850886488792,0.097058803652528,0.0371923706582647,0.112180856927957,0.0407396134702689,0.125059638878581,0.0547912080828391,0.0457105973600391,0.107681895593244,0.114006904752116,0.18325278027039,0.150292547826354
"RP4-758J18.10",0.0143721892512576,0.00771384218036313,0.0119769142325808,0.012204956142484,0.0141511164516081,0.0132043056864799,0.0113737652251466,0.0143232493436067,0.0171229763253954,0.0079167626733522,0.0158212488939338,0.0253959762164603,0.0202205840942767,0.0215324251179427,0.013087766641595,0.0112385140607638,0.0124404876371363,0.0169775574341192,0.00954397087737079,0.0184192716146339,0.0185789029966412,0.0221438072503899,0.0209138333946632
"VWA1",2.93001031535637,1.21248485543602,1.34569186341783,1.44018482481312,1.40715164215678,1.95229543193925,2.15106334820585,1.86186008450965,1.78364336722869,1.51929872758605,1.52938362611625,2.89090862597373,1.87090954332295,1.89289591718642,2.04963774012122,1.56636789721896,2.25380385946955,1.33196655142226,2.19209941625506,1.1490791753437,1.20446183631634,2.23354363515952,1.87117297607546
"ATAD3C",0.177975610228073,0.0876292471689252,0.224567141860891,0.0884859320330093,0.24591102613782,0.103047955025017,0.142854491227841,0.209281770575886,0.114395751000579,0.131403866263695,0.145013047004971,0.238651632056348,0.11553030722265,0.189230866922866,0.207534585316721,0.0941927959717769,0.0921054418903137,0.151640456172928,0.125679027027272,0.204737288331892,0.103632276419674,0.116135752179352,0.296681180085705
"TMEM240",0.00862331355075453,0.012342147488581,0.0119769142325808,0.00871782581606003,0.00972889256048056,0.0108741340947482,0.0157968961460369,0.0124134827644592,0.00856148816269769,0.0111554383124508,0.0158212488939338,0.00987621297306791,0.006066175228283,0.0117449591552415,0.0121529261671954,0.00280962851519096,0.0189881127093133,0.0108039001853486,0.0107997565191301,0.00708433523639764,0.00760046031680776,0.0229954921446356,0.0168130817486508
