"","UTSW15_T","UTSW24_T","UTSW31_T","UTSW32_T","UTSW37_T","UTSW39_T","UTSW45_T","UTSW46_T","UTSW47_T","UTSW48_T","UTSW49_T","UTSW50_T","UTSW52_T","UTSW54_T","UTSW60_T","UTSW62_T","UTSW65_T","UTSW70_T","UTSW79_T","XP615_T","XP659_T","XP681_T","XP685_T"
"MST1L",0.0541465236344646,0.151952187608905,0.51485537591185,0.0326697277200631,0.00517100235506555,0.0549228618082583,0.808667090157782,0.100954696701024,0.0941486365145381,0.0430122485685727,0.0351541317805538,0.0280402799738598,0.0675440094384678,0.342410707629721,0.0199998009740199,0.0265405460226963,0.219735893151989,0.0779729599088152,0.10405169681772,0.915281129604168,0.0233202149375952,0.452910998007711,0.136268512529701
"RP11-108M9.3",0.00447042512855303,0.00164388151251047,0.00255194734033135,0.00517862531794479,0.000795538823856238,0.00262203350453175,0.002028285005224,0.00229442492502327,0.00123603303813231,0.00117841776900199,0.00138293201339708,0.00233668999782165,0.0029894288446464,0.00713355640895252,0.00141141855850529,0.0129646770522592,0.00193361398409001,0.0024842701755145,0.00067203834410463,0.00512045387191143,0.00606099868426476,0.00178686611523295,0.00708207223319769
"RP11-108M9.4",0.128342868659075,0.0180826966376152,0.0765584202099405,0.0946948629567048,0.137827101233093,0.0307302326731121,0.07352533143937,0.028106705331535,0.01606842949572,0.0789539905231335,0.017051551725186,0.0502388349531655,0.0552617274996063,0.172632065096651,0.0705709279252644,0.0463024180437827,0.0897486930715378,0.0695595649144061,0.0810343835321363,0.0153613616157343,0.0247455946281706,0.034546078227837,0.0474498839624245
"RP11-108M9.5",0.116492357812768,0.0123291113438285,0.058694788827621,0.0872968267882122,0.104215585925167,0.0262203350453175,0.0662539296956419,0.0160609744751629,0.0148323964575877,0.0388877863770658,0.0248927762411474,0.026871934974949,0.0437310733845416,0.0870293881892208,0.0682138589325606,0.0194470155783887,0.0776636056709752,0.0695595649144061,0.0532052757027636,0.00768068080786714,0.0152569966879768,0.0325606714331337,0.0507548510045834
"MFAP2",0.0236586479947119,0.0184936670157428,0.187568129514354,0.0562250748805435,0.0238661647156871,0.405541182034244,0.07098997518284,0.0195026118626978,0.0797241309595341,0.00707050661401195,0.0138293201339708,0.189271889823554,0.481725105251591,0.0699088528077347,0.0726880557630223,0.298187572201961,0.0507573670823627,0.35111018480605,0.165321432649739,0.01792158855169,0.414655909985561,0.0651213428662674,0.0804995543840137
"PADI2",2.76117608947239,0.320556894939542,2.39883049991147,0.134851403279282,0.0182973929486935,0.146833876253778,0.0750465451932879,0.0412996486504188,0.287377681365762,0.158497189930768,0.383072167710991,2.49733743517189,0.571126110157059,1.06147319365214,0.0282283711701058,0.0814922557570576,0.428972262370369,0.0778404654994544,0.397255305967129,0.217619289556236,0.0873619810352645,0.304561402307482,0.0720010677041765
"RP11-380J14.1",0.0331927300224317,0.0501383861315694,0.584395940935879,0.0443882170109554,0.0214795482441184,0.00524406700906349,0.052735410135824,0.275330991002792,0.0185404955719847,0.0724726927936225,0.0484026204688978,0.0689323549357388,0.0239154307571712,0.447987342482218,0.148198948643055,0.235216283662416,0.363519429008922,0.039748322808232,0.0698919877868815,1.34667936831271,0.00167199963703855,0.632153523433522,0.451364070329133
"RP11-380J14.4",0.00847473958019532,0.0238362819314018,0.168428524461869,0.0147960723369851,0.00397769411928119,0.0017480223363545,0.019268707549628,0.059655048050605,0.01606842949572,0.0129625954590219,0.0193610481875591,0.026871934974949,0.00939534779746011,0.102723212288916,0.0522224866646956,0.0944569328093168,0.123751294981761,0.0182179812871064,0.018145035290825,0.366112451841667,0.00125399972777892,0.198143598111387,0.126533023899799
"PADI1",0.131711577642202,1.6249768751166,0.581843993595548,0.0266329302065732,0.156721148299679,0.00699208934541799,0.006084855015672,0.675708140419353,0.0123603303813231,0.381807357156646,0.0580831445626773,0.259372589758204,0.0708921697444717,0.459401032736542,0.113619193959676,0.0703796754265497,0.146954662790841,0.00662472046803867,0.0188170736349296,0.0384034040393357,0.00167199963703855,0.0325606714331337,5.31640775506875
"PADI3",0.00353114149174805,0.0386312155439961,0.00765584202099405,0.00295921446739702,0.00159107764771248,0.00699208934541799,0.001014142502612,0.625230792068841,0.00370809911439693,0.0671698128331136,0.00553172805358832,0.00467337999564331,0.00256236758112548,0.011413690254324,0.00141141855850529,0.00555629016525393,0.00870126292840504,0.00828090058504834,0.00336019172052315,0.00512045387191143,0.0054339988203753,0.00555913902516917,6.17013739863627
"PADI4",0.041667469602627,0.00493164453753141,0.0255194734033135,0.00295921446739702,0.000795538823856238,0.003496044672709,0.00912728252350799,0.0229442492502327,0.00988826430505849,0.0117841776900199,0.0304245042947358,0.0140201399869299,0.00512473516225097,0.00570684512716202,0.00423425567551586,0.00926048360875655,0.156622732711291,0.0165618011700967,0.00470426840873241,0.00768068080786714,0.00208999954629819,0.0246190442543206,0.00236069074439923
"ACTL8",0.00070622829834961,0.00739746680629712,0.0051038946806627,0.00147960723369851,0.0182973929486935,0.0192282456998995,0.002028285005224,0.00114721246251163,0.00123603303813231,0.00117841776900199,0.00138293201339708,0.00116834499891083,0.00341649010816731,0.00285342256358101,0.00282283711701058,0.00555629016525393,0.000966806992045005,0.00828090058504834,0.00940853681746482,0.00256022693595571,0.00125399972777892,0.00119124407682196,0.000944276297759692
"IGSF21",0.296968999456011,0.0221924004188914,0.051038946806627,0.0177552868043821,0.126490672993142,0.218502792044312,0.074032402690676,0.072274385138233,0.147087931537745,0.0282820264560478,0.0649978046296627,0.126181259882369,0.089682865339392,0.0513616061444582,0.0536339052232009,0.0722317721483011,0.0802449803397354,0.0811528257334738,0.079972562948451,0.00768068080786714,0.076284983439884,0.195761109957743,0.0651550645454187
"KLHDC7A",0.104521788155742,1.45935581273117,0.0867662095712659,1.38195315627441,0.0684163388516365,0.0506926477542804,0.14197995036568,0.186995631389396,0.205181484329964,0.49670308963434,0.36555041910125,0.140201399869299,0.0418520038250496,0.335277151220769,0.0225826969360846,0.0185209672175131,0.697551244760471,0.04968540351029,0.085348869701288,0.318748253526486,0.590771811753925,0.349332325528041,0.389986110974753
"ALDH4A1",0.442098914766856,1.49593217638453,0.193947997865183,5.45787159116071,0.0564832564937929,0.125857608217524,0.0862021127220199,0.0653911103631632,0.243498508512065,0.176173456465798,0.570224357084018,0.144874779864943,0.0691839246903881,0.108430057416078,0.0395197196381481,0.0981611262528194,0.841122083079154,0.0778404654994544,0.10013371327159,1.84592362082407,0.0702239847556193,0.208864794802784,0.130310129090837
"RP5-1126H10.2",0.00564982638679688,0.0534261491565903,0.0433831047856329,0.0162756795706836,0.00875092706241862,0.00699208934541799,0.01521213753918,0.00917769970009307,0.0420251232964986,0.00707050661401195,0.0110634561071766,0.0116834499891083,0.00768710274337645,0.014267112817905,0.00564567423402115,0.0111125803305079,0.0309378237454402,0.0115932608190677,0.0288976487964991,0.122890892925874,0.0108679976407506,0.0135007662039823,0.0250233218906318
"AKR7L",0.0274228448249153,0.0509192298500119,0.0959021810496521,0.184166712378454,0.00291962748355239,0.188646570539377,0.0791741051789188,0.025043648056629,0.0115321882457745,0.0805684228666662,0.0145207861406693,0.0431703477097551,0.0464044768941825,0.0340127969578856,0.00882136599065805,0.00477840954211838,0.0335965429735639,0.0331236023401934,0.0124327093659357,0.0657210254459832,0.0273371940655804,0.0397399024027807,0.049664211880671
"AKR7A3",0.124416239320251,1.18181107756647,0.15056489307955,2.02635169869479,0.0189576901724942,0.14975307355549,0.521593771943404,0.0307797103691871,0.0133862378029729,0.182690106728379,0.0138293201339708,0.127968827730703,0.0735997381551943,0.0418597090077334,0.0183484412605687,0.0166688704957618,0.0936159210397178,0.0364359625742127,0.0266597611106307,0.156609081672411,0.235605648854195,0.0228321781390877,0.130678396846964
